Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
51,135.8,561.4,119.7,204,1002,22,
52,138.4,571.9,119.7,204,1002,22,
53,141.0,582.6,120.5,200,988,22,
54,143.5,593.1,120.3,201,991,23,
55,146.1,603.9,120.5,200,988,22,
56,149.2,616.9,120.9,198,981,22,
57,151.7,627.6,120.9,198,981,22,
58,154.3,638.3,120.2,202,993,22,
59,156.9,648.8,121.4,196,973,23,
60,160.0,661.6,122.4,191,956,22,
61,162.6,672.0,122.4,191,956,22,
62,165.1,682.6,122.9,189,948,22,
63,167.7,693.2,121.5,195,971,22,
64,170.8,706.2,120.4,201,990,22,
65,173.3,716.8,120.4,201,990,22,
66,175.9,727.3,120.2,202,993,22,
67,179.0,740.4,121.0,198,979,23,
68,181.6,751.1,120.4,201,990,23,
69,184.1,761.7,120.4,201,990,23,
70,186.7,772.3,120.0,203,997,22,
71,189.2,782.8,120.7,199,985,23,
72,192.3,795.9,120.4,201,990,22,
73,194.9,806.5,120.4,201,990,22,
74,197.5,817.3,120.6,200,986,23,
75,200.1,827.9,120.8,199,983,23,
76,202.6,838.6,120.9,198,981,22,
77,205.2,849.4,120.0,203,997,23,
78,208.3,862.4,120.7,199,985,22,
79,210.9,873.1,120.4,201,990,24,
80,213.4,883.9,119.4,206,1007,23,
81,216.0,894.6,119.4,206,1007,23,
82,218.6,905.3,120.2,202,993,23,
83,221.1,916.1,120.2,202,993,23,
84,224.2,929.1,120.4,201,990,22,
85,226.8,939.6,121.7,194,968,22,
86,229.3,950.2,121.7,194,968,22,
87,232.0,961.0,121.2,197,976,23,
88,234.5,971.6,120.7,199,985,23,
89,237.1,982.2,121.4,196,973,22,
90,240.2,995.3,120.1,202,995,23,
91,242.7,1006.0,120.1,202,995,23,
92,245.3,1016.7,120.6,200,986,23,
93,247.9,1027.3,120.7,199,985,22,
94,250.5,1037.9,121.3,196,974,22,
95,253.6,1050.9,120.5,200,988,22,
96,256.1,1061.5,120.5,200,988,22,
97,258.7,1072.1,120.3,201,991,22,
98,261.2,1082.7,120.4,201,990,23,
99,264.3,1095.6,121.2,197,976,22,
100,266.9,1106.2,120.3,201,991,23,
101,269.4,1117.0,120.3,201,991,23,
102,272.0,1127.4,120.1,202,995,23,
103,275.1,1140.3,121.5,195,971,22,
104,277.7,1150.8,121.5,195,971,22,
105,280.2,1161.3,121.2,197,976,22,
106,282.8,1172.2,121.2,197,976,23,
107,285.9,1185.4,119.2,207,1011,22,
108,288.5,1196.0,119.2,207,1011,22,
109,291.0,1206.7,120.3,201,991,22,
110,293.6,1217.6,119.9,203,998,23,
111,296.2,1228.3,119.1,207,1013,23,
112,298.7,1238.9,120.1,202,995,23,
113,301.8,1251.9,120.3,201,991,23,
114,304.4,1262.7,120.3,201,991,23,
115,307.0,1273.2,120.3,201,991,23,
116,309.5,1283.8,121.0,198,979,23,
117,312.1,1294.5,120.4,201,990,22,
118,314.6,1305.0,120.5,200,988,23,
119,317.7,1317.9,121.9,193,964,22,
120,320.3,1328.5,121.9,193,964,22,
121,322.9,1339.2,121.1,197,978,23,
122,325.5,1349.9,121.0,198,979,22,
123,328.0,1360.5,120.6,200,986,24,
124,330.6,1370.9,121.4,196,973,23,
125,333.7,1384.2,120.0,203,997,23,
126,336.2,1394.7,120.7,199,985,23,
127,338.8,1405.4,120.7,199,985,23,
128,341.4,1415.9,120.2,202,993,22,
129,343.9,1426.6,120.6,200,986,22,
130,346.5,1437.3,120.5,200,988,23,
131,349.6,1450.3,121.3,196,974,22,
132,352.2,1460.7,121.3,196,974,22,
133,354.7,1471.3,122.8,189,950,22,
134,357.3,1481.9,121.8,194,966,22,
135,360.0,1492.8,121.7,194,968,23,
136,363.0,1505.4,121.4,196,973,23,
137,365.5,1515.9,121.4,196,973,23,
138,368.1,1526.6,121.2,197,976,22,
139,370.7,1537.1,121.9,193,964,22,
140,373.3,1547.6,122.0,193,963,23,
141,375.8,1558.2,122.8,189,950,23,
142,378.9,1571.1,122.6,190,953,22,
143,381.5,1581.5,122.6,190,953,22,
144,384.1,1592.1,122.5,190,955,23,
145,386.6,1602.5,122.2,192,960,22,
146,389.2,1613.0,122.7,189,952,23,
147,392.3,1625.9,122.6,190,953,22,
148,394.9,1636.4,122.6,190,953,22,
149,397.5,1646.8,122.7,189,952,22,
150,400.0,1657.4,122.3,191,958,23,
151,402.6,1667.9,122.2,192,960,22,
152,405.7,1680.9,121.8,194,966,22,
153,408.3,1691.5,121.8,194,966,22,
154,410.9,1702.0,121.1,197,978,22,
155,413.5,1712.7,121.6,195,969,22,
156,416.5,1725.8,120.3,201,991,22,
157,419.1,1736.3,120.3,201,991,22,
158,421.7,1746.9,121.7,194,968,22,
159,424.3,1757.4,121.7,194,968,22,
160,427.4,1770.3,122.2,192,960,23,
161,429.9,1780.8,122.5,190,955,22,
162,432.5,1791.3,122.5,190,955,22,
163,435.1,1802.0,122.3,191,958,22,
164,437.7,1812.5,121.2,197,976,23,
165,440.8,1825.4,122.4,191,956,22,
166,443.3,1835.7,122.4,191,956,22,
167,445.9,1846.3,122.8,189,950,21,
168,448.5,1856.9,121.0,198,979,22,
169,451.6,1870.1,120.2,202,993,22,
170,454.1,1880.7,120.2,202,993,22,
171,456.7,1891.2,120.7,199,985,22,
172,459.8,1904.3,120.5,200,988,23,
173,462.4,1914.9,121.8,194,966,22,
174,465.0,1925.4,121.8,194,966,22,
175,467.5,1935.8,121.8,194,966,22,
176,470.1,1946.6,122.0,193,963,23,
177,473.2,1959.9,118.6,210,1022,23,
178,475.8,1970.5,118.6,210,1022,23,
179,478.3,1981.2,119.8,204,1000,22,
180,481.4,1994.2,121.8,194,966,22,
181,484.0,2004.8,121.8,194,966,22,
182,486.6,2015.3,121.1,197,978,22,
183,489.2,2026.0,121.4,196,973,22,
184,492.3,2039.0,121.1,197,978,23,
185,494.9,2049.6,122.1,192,961,22,
186,497.4,2060.1,122.1,192,961,22,
187,500.0,2070.7,122.1,192,961,22,
188,502.6,2081.2,121.7,194,968,23,
189,505.7,2094.2,122.0,193,963,22,
190,508.3,2104.7,122.0,193,963,22,
191,510.8,2115.1,122.2,192,960,22,
192,513.9,2128.0,122.2,192,960,22,
193,516.5,2138.7,120.9,198,981,23,
194,519.1,2149.4,120.9,198,981,23,
195,521.7,2159.9,121.2,197,976,23,
196,524.2,2170.3,121.7,194,968,22,
197,527.3,2183.4,121.2,197,976,22,
198,529.9,2194.2,119.5,205,1005,24,
199,532.5,2204.8,119.5,205,1005,24,
200,535.0,2215.5,119.4,206,1007,22,
201,537.6,2226.1,120.9,198,981,22,
202,540.7,2239.0,121.3,196,974,22,
203,543.3,2249.4,122.0,193,963,22,
204,545.8,2259.9,122.7,189,952,22,
205,548.4,2270.5,121.8,194,966,23,
206,551.0,2281.2,121.4,196,973,23,
207,554.1,2294.2,121.5,195,971,23,
208,556.7,2304.8,121.2,197,976,23,
209,559.2,2315.5,121.2,197,976,23,
210,561.8,2325.8,121.7,194,968,23,
211,564.4,2336.3,122.9,189,948,22,
212,566.9,2346.9,122.3,191,958,22,
213,570.0,2359.9,121.3,196,974,22,
214,572.6,2370.4,121.3,196,974,22,
215,575.2,2381.1,121.7,194,968,22,
216,577.8,2391.6,121.0,198,979,22,
217,580.8,2404.4,122.6,190,953,22,
218,583.4,2414.9,122.6,190,953,22,
219,586.0,2425.6,121.3,196,974,22,
220,588.6,2436.2,120.5,200,988,23,
221,591.7,2449.3,121.1,197,978,22,
222,594.3,2459.9,121.9,193,964,22,
223,596.8,2470.6,121.9,193,964,22,
224,599.4,2481.2,120.3,201,991,23,
225,602.0,2491.9,121.4,196,973,22,
226,604.6,2502.6,120.3,201,991,23,
227,607.1,2513.4,120.5,200,988,23,
228,609.7,2524.2,119.6,205,1004,23,
229,612.3,2535.1,119.0,208,1014,24,
230,614.9,2545.8,119.4,206,1007,23,
231,617.4,2556.6,119.9,203,998,23,
232,620.5,2569.9,119.7,204,1002,23,
233,623.1,2580.5,120.4,201,990,22,
234,625.7,2591.3,120.4,201,990,22,
235,628.3,2601.9,120.0,203,997,22,
236,630.8,2612.6,120.9,198,981,23,
237,633.4,2623.4,120.6,200,986,23,
238,636.0,2634.2,119.7,204,1002,23,
239,638.5,2644.9,119.2,207,1011,24,
240,641.6,2658.1,119.3,206,1009,23,
241,644.2,2669.0,118.4,211,1025,23,
242,646.8,2679.9,118.5,210,1023,23,
243,649.4,2690.8,118.8,209,1018,23,
244,651.9,2701.4,118.8,209,1018,23,
245,654.5,2712.0,120.0,203,997,23,
246,657.1,2722.6,121.1,197,978,22,
247,660.2,2735.7,121.0,198,979,23,
248,662.8,2746.4,120.5,200,988,23,
249,665.3,2757.1,120.5,200,988,23,
250,667.9,2767.9,120.0,203,997,22,
251,670.5,2778.7,119.3,206,1009,23,
252,673.1,2789.4,120.3,201,991,23,
253,675.7,2800.2,119.8,204,1000,23,
254,678.7,2813.3,119.9,203,998,22,
255,681.3,2824.0,119.9,203,998,22,
256,683.9,2834.8,120.2,202,993,22,
257,686.5,2845.5,119.6,205,1004,23,
258,689.0,2856.2,120.5,200,988,23,
259,692.1,2869.4,119.6,205,1004,22,
260,694.7,2880.1,119.6,205,1004,22,
261,697.3,2890.7,120.2,202,993,22,
262,699.9,2901.6,120.0,203,997,22,
263,703.0,2914.9,118.5,210,1023,22,
264,705.5,2925.8,118.4,211,1025,22,
265,708.1,2936.6,118.4,211,1025,22,
266,710.7,2947.3,118.9,208,1016,22,
267,713.8,2960.6,118.8,209,1018,22,
268,716.4,2971.4,119.2,207,1011,23,
269,718.9,2982.3,119.2,207,1011,23,
270,721.5,2993.1,118.0,213,1033,23,
271,724.1,3003.9,119.0,208,1014,22,
272,727.2,3017.2,119.1,207,1013,22,
273,729.8,3027.9,119.1,207,1013,22,
274,732.4,3038.6,119.6,205,1004,22,
275,735.4,3051.9,118.8,209,1018,22,
276,738.0,3062.7,118.8,209,1018,22,
277,740.6,3073.4,119.5,205,1005,22,
278,743.2,3084.2,119.3,206,1009,22,
279,745.7,3095.0,119.1,207,1013,22,
280,748.9,3108.3,119.5,205,1005,23,
281,751.4,3119.1,119.5,205,1005,22,
282,754.0,3130.0,119.5,205,1005,22,
283,756.6,3140.8,118.1,212,1031,23,
284,759.2,3151.7,118.8,209,1018,23,
285,761.7,3162.5,118.9,208,1016,23,
286,764.8,3175.6,120.4,201,990,22,
287,767.4,3186.3,120.4,201,990,22,
288,770.0,3197.0,120.1,202,995,22,
289,772.6,3207.9,119.6,205,1004,22,
290,775.7,3221.2,119.2,207,1011,22,
291,778.2,3231.9,120.1,202,995,22,
292,780.8,3242.7,120.1,202,995,22,
293,783.4,3253.4,118.9,208,1016,23,
294,786.0,3264.3,119.3,206,1009,22,
295,789.0,3277.4,119.8,204,1000,22,
296,791.6,3288.3,118.3,211,1027,23,
297,794.2,3299.2,118.3,211,1027,23,
298,796.8,3310.1,118.2,212,1029,23,
299,799.4,3320.9,118.8,209,1018,22,
300,801.9,3331.9,118.7,209,1020,23,
301,804.5,3342.8,117.1,218,1050,23,
302,807.1,3353.6,118.8,209,1018,23,
303,810.2,3366.9,119.2,207,1011,22,
304,812.8,3377.6,119.9,203,998,23,
305,815.3,3388.4,119.9,203,998,23,
306,817.9,3399.2,119.1,207,1013,23,
307,820.5,3410.1,118.4,211,1025,23,
308,823.6,3423.3,119.6,205,1004,22,
309,826.1,3433.9,119.6,205,1004,22,
310,828.7,3444.8,119.2,207,1011,22,
311,831.3,3455.7,118.7,209,1020,22,
312,833.8,3466.6,118.7,209,1020,23,
313,836.4,3477.4,117.8,214,1036,23,
314,839.0,3488.3,118.3,211,1027,23,
315,842.1,3501.7,118.2,212,1029,23,
316,844.6,3512.5,118.2,212,1029,22,
317,847.2,3523.5,118.2,212,1029,22,
318,849.8,3534.4,118.1,212,1031,23,
319,852.4,3545.4,117.9,214,1034,22,
320,855.0,3556.4,118.0,213,1033,23,
321,857.5,3567.3,118.1,212,1031,24,
322,860.1,3578.2,118.5,210,1023,23,
323,862.7,3589.4,116.3,222,1065,24,
324,865.3,3600.5,116.3,222,1065,24,
325,867.8,3611.3,116.8,220,1055,23,
326,870.4,3622.3,118.1,212,1031,22,
327,873.0,3633.3,118.1,212,1031,23,
328,875.6,3644.3,117.9,214,1034,24,
329,878.1,3655.4,117.3,217,1046,24,
330,880.7,3666.3,116.7,220,1057,24,
331,883.3,3677.1,118.7,209,1020,22,
332,885.9,3688.2,118.6,210,1022,23,
333,888.5,3699.3,117.3,217,1046,24,
334,891.0,3710.4,116.8,220,1055,24,
335,893.6,3721.4,116.8,220,1055,23,
336,896.2,3732.4,117.2,217,1048,23,
337,898.8,3743.4,117.2,217,1048,23,
338,901.9,3756.7,118.5,210,1023,22,
339,904.5,3767.6,118.5,210,1023,22,
340,907.0,3778.4,117.9,214,1034,22,
341,909.6,3789.3,118.8,209,1018,22,
342,912.2,3800.2,118.6,210,1022,23,
343,914.8,3811.1,118.9,208,1016,23,
344,917.3,3822.0,118.5,210,1023,23,
345,920.4,3835.3,118.6,210,1022,22,
346,923.0,3846.3,117.7,215,1038,23,
347,925.6,3857.3,117.5,216,1042,23,
348,928.2,3868.1,117.5,216,1042,23,
349,930.7,3878.9,118.9,208,1016,23,
350,933.3,3889.8,119.1,207,1013,22,
351,935.9,3900.7,118.6,210,1022,23,
352,939.0,3914.1,117.7,215,1038,22,
353,941.6,3924.9,118.6,210,1022,22,
354,944.1,3935.8,118.6,210,1022,22,
355,946.7,3946.9,118.3,211,1027,22,
356,949.3,3957.8,116.7,220,1057,23,
357,951.9,3968.9,117.3,217,1046,23,
358,955.0,3982.1,118.8,209,1018,22,
359,957.6,3993.1,118.8,209,1018,22,
360,960.1,4003.8,118.1,212,1031,23,
361,962.7,4014.6,119.2,207,1011,22,
362,965.8,4027.9,118.6,210,1022,22,
363,968.4,4038.8,118.8,209,1018,23,
364,970.9,4049.6,118.8,209,1018,23,
365,973.5,4060.5,118.6,210,1022,23,
366,976.1,4071.4,119.4,206,1007,23,
367,978.7,4082.4,117.6,215,1040,24,
368,981.3,4093.3,118.1,212,1031,23,
369,983.8,4104.4,117.8,214,1036,24,
370,986.4,4115.3,118.5,210,1023,23,
371,989.0,4126.2,118.8,209,1018,23,
372,991.6,4137.0,119.2,207,1011,23,
373,994.2,4148.0,118.5,210,1023,23,
374,996.7,4159.0,117.5,216,1042,24,
375,999.3,4169.8,119.0,208,1014,23,
376,1001.9,4180.6,119.0,208,1014,23,
377,1004.5,4191.3,119.5,205,1005,22,
378,1007.6,4204.6,119.1,207,1013,22,
379,1010.1,4215.3,118.7,209,1020,22,
380,1012.7,4226.1,118.7,209,1020,22,
381,1015.3,4236.9,118.9,208,1016,22,
382,1018.4,4250.2,118.9,208,1016,23,
383,1020.9,4260.9,118.9,208,1016,23,
384,1023.5,4271.7,119.4,206,1007,22,
385,1026.1,4282.5,119.2,207,1011,22,
386,1029.2,4295.8,119.4,206,1007,22,
387,1031.8,4306.4,119.4,206,1007,22,
388,1034.9,4319.6,119.2,207,1011,21,
389,1037.4,4330.4,119.2,207,1011,21,
390,1040.0,4341.1,118.5,210,1023,22,
391,1043.1,4354.2,120.0,203,997,22,
392,1045.7,4365.1,120.0,203,997,22,
393,1048.2,4375.9,118.6,210,1022,22,
394,1050.8,4386.8,118.5,210,1023,22,
395,1053.9,4400.0,118.9,208,1016,22,
396,1056.5,4410.9,118.9,208,1016,22,
397,1059.1,4421.7,118.9,208,1016,22,
398,1062.2,4435.2,117.6,215,1040,22,
399,1064.8,4446.1,117.6,215,1040,22,
400,1067.3,4457.2,117.0,219,1052,22,
401,1069.9,4468.1,116.3,222,1065,22,
402,1073.0,4481.5,118.0,213,1033,22,
403,1075.6,4492.4,118.0,213,1033,22,
404,1078.1,4503.2,118.6,210,1022,22,
405,1080.7,4514.1,118.5,210,1023,22,
406,1083.8,4527.3,119.2,207,1011,22,
407,1086.4,4538.1,119.2,207,1011,22,
408,1089.0,4548.7,119.9,203,998,22,
409,1091.6,4559.5,119.9,203,998,22,
410,1094.7,4572.7,120.4,201,990,22,
411,1097.2,4583.4,120.4,201,990,22,
412,1099.8,4594.1,119.4,206,1007,22,
413,1102.4,4604.9,119.8,204,1000,22,
414,1105.0,4615.6,120.4,201,990,22,
415,1108.1,4628.6,121.0,198,979,23,
416,1110.6,4639.2,121.1,197,978,23,
417,1113.2,4650.0,120.3,201,991,23,
418,1115.8,4660.7,120.3,201,991,23,
419,1118.4,4671.6,120.1,202,995,23,
420,1121.0,4682.4,119.3,206,1009,23,
421,1123.5,4693.3,118.6,210,1022,23,
422,1126.1,4704.2,118.7,209,1020,23,
423,1128.7,4715.1,118.4,211,1025,23,
424,1131.3,4726.0,118.5,210,1023,23,
425,1133.8,4736.9,118.4,211,1025,23,
426,1136.4,4748.0,117.9,214,1034,23,
427,1139.5,4761.5,117.2,217,1048,23,
428,1142.1,4772.4,118.1,212,1031,23,
429,1144.6,4783.3,117.6,215,1040,23,
430,1147.2,4794.5,116.3,222,1065,24,
431,1149.8,4805.6,116.7,220,1057,23,
432,1152.4,4816.7,117.1,218,1050,24,
433,1154.5,4825.3,117.1,218,1050,24,
434,1157.0,4836.5,116.5,221,1061,24,
435,1159.6,4847.7,116.0,224,1071,24,
436,1162.2,4858.9,115.8,225,1075,23,
437,1164.8,4870.0,115.3,228,1085,24,
438,1167.3,4881.0,116.6,221,1059,23,
439,1169.9,4892.0,117.1,218,1050,23,
440,1172.5,4903.2,117.1,218,1050,23,
441,1175.1,4914.3,116.2,223,1067,24,
442,1177.6,4925.2,117.0,219,1052,23,
443,1180.7,4938.7,117.8,214,1036,23,
444,1183.3,4949.5,117.8,214,1036,23,
445,1185.9,4960.5,118.5,210,1023,22,
446,1188.5,4971.6,117.3,217,1046,23,
447,1191.0,4982.6,117.1,218,1050,23,
448,1193.6,4993.8,117.1,218,1050,24,
449,1196.2,5004.8,117.4,216,1044,24,
450,1198.8,5015.7,117.9,214,1034,23,
451,1201.3,5026.7,118.2,212,1029,23,
452,1203.9,5037.7,117.4,216,1044,24,
453,1206.5,5048.8,116.3,222,1065,24,
454,1208.5,5057.5,116.3,222,1065,24,
455,1211.1,5068.6,116.2,223,1067,24,
456,1213.7,5079.6,117.1,218,1050,24,
457,1216.3,5090.6,117.4,216,1044,24,
458,1218.9,5101.7,117.6,215,1040,24,
459,1221.4,5112.8,117.2,217,1048,24,
460,1224.0,5123.8,117.0,219,1052,23,
461,1226.6,5134.8,117.1,218,1050,24,
462,1229.2,5145.7,117.5,216,1042,23,
463,1231.7,5156.7,118.2,212,1029,23,
464,1234.3,5167.6,118.2,212,1029,24,
465,1236.9,5178.7,118.4,211,1025,23,
466,1239.5,5189.5,117.4,216,1044,24,
467,1242.0,5200.6,118.1,212,1031,23,
468,1244.6,5211.8,117.6,215,1040,24,
469,1247.2,5222.9,115.8,225,1075,24,
470,1249.8,5234.0,116.3,222,1065,23,
471,1252.4,5244.9,116.8,220,1055,24,
472,1254.9,5255.8,118.0,213,1033,23,
473,1257.5,5266.9,117.9,214,1034,23,
474,1260.1,5277.8,117.7,215,1038,24,
475,1262.6,5288.9,117.8,214,1036,23,
476,1265.2,5299.6,117.3,217,1046,24,
477,1267.8,5310.8,118.1,212,1031,23,
478,1270.4,5321.9,116.2,223,1067,23,
479,1272.9,5333.2,116.8,220,1055,23,
480,1275.5,5344.2,115.2,229,1087,24,
481,1278.1,5355.1,117.1,218,1050,22,
482,1280.7,5366.0,118.1,212,1031,23,
483,1283.3,5376.9,118.4,211,1025,23,
484,1285.8,5387.8,118.8,209,1018,23,
485,1288.4,5398.8,118.5,210,1023,23,
486,1291.0,5409.9,117.2,217,1048,23,
487,1293.6,5420.9,116.9,219,1054,24,
488,1296.1,5431.9,117.8,214,1036,23,
489,1298.7,5443.0,117.8,214,1036,23,
490,1301.8,5456.4,118.0,213,1033,23,
491,1304.4,5467.3,118.5,210,1023,23,
492,1307.0,5478.0,118.5,210,1023,23,
493,1309.6,5488.7,119.6,205,1004,22,
494,1312.1,5499.4,120.3,201,991,22,
495,1314.7,5510.1,120.3,201,991,22,
496,1317.8,5523.2,120.3,201,991,23,
497,1320.4,5533.9,120.3,201,991,23,
498,1323.0,5544.6,120.5,200,988,22,
499,1325.5,5555.4,120.3,201,991,23,
500,1328.1,5566.1,120.2,202,993,23,
501,1330.7,5576.9,120.9,198,981,24,
502,1333.3,5587.6,120.6,200,986,24,
503,1335.9,5598.5,120.3,201,991,23,
504,1338.4,5609.1,119.2,207,1011,23,
505,1341.0,5619.8,120.3,201,991,23,
506,1343.6,5630.6,120.9,198,981,23,
507,1346.2,5641.3,120.6,200,986,23,
508,1348.7,5651.7,121.0,198,979,23,
509,1351.3,5662.6,122.8,189,950,23,
510,1353.9,5673.5,119.7,204,1002,24,
511,1356.5,5684.2,119.0,208,1014,24,
512,1359.0,5695.1,120.2,202,993,23,
513,1361.6,5706.0,119.1,207,1013,24,
514,1364.2,5716.7,119.1,207,1013,24,
515,1366.8,5727.4,119.6,205,1004,22,
516,1369.3,5738.2,119.9,203,998,22,
517,1371.9,5749.1,119.7,204,1002,23,
518,1374.5,5760.1,118.8,209,1018,24,
519,1377.1,5771.0,118.3,211,1027,23,
520,1379.7,5782.0,118.0,213,1033,23,
521,1382.8,5795.3,118.5,210,1023,23,
522,1385.3,5806.2,118.9,208,1016,24,
523,1387.4,5814.6,118.9,208,1016,24,
524,1389.9,5825.4,118.7,209,1020,23,
525,1392.5,5836.2,118.8,209,1018,23,
526,1395.1,5847.1,119.9,203,998,23,
527,1397.7,5857.9,120.2,202,993,24,
528,1400.3,5868.7,119.6,205,1004,24,
529,1402.8,5879.6,119.4,206,1007,23,
530,1405.4,5890.5,118.9,208,1016,25,
531,1408.0,5901.3,120.0,203,997,24,
532,1410.0,5909.9,120.0,203,997,24,
533,1412.6,5920.7,118.5,210,1023,25,
534,1415.2,5931.6,119.7,204,1002,24,
535,1417.8,5942.3,119.7,204,1002,24,
536,1420.4,5953.1,120.6,200,986,24,
537,1422.9,5963.8,120.3,201,991,24,
538,1425.5,5974.6,119.8,204,1000,24,
539,1427.6,5983.2,119.8,204,1000,24,
540,1430.2,5994.1,119.0,208,1014,24,
541,1432.7,6005.0,118.4,211,1025,24,
542,1435.3,6016.0,118.8,209,1018,24,
543,1437.9,6027.0,118.3,211,1027,24,
544,1440.5,6037.7,120.1,202,995,24,
545,1442.5,6046.2,120.1,202,995,24,
546,1445.1,6057.2,119.3,206,1009,24,
547,1447.7,6068.1,118.8,209,1018,24,
548,1450.3,6079.0,118.2,212,1029,24,
549,1452.8,6089.8,118.7,209,1020,23,
550,1455.4,6100.6,119.3,206,1009,23,
551,1458.0,6111.5,119.8,204,1000,23,
552,1460.6,6122.4,119.2,207,1011,23,
553,1463.7,6135.6,118.9,208,1016,21,
554,1466.2,6146.4,118.9,208,1016,21,
555,1468.8,6157.1,119.2,207,1011,22,
556,1471.9,6170.1,120.8,199,983,22,
557,1474.5,6180.9,120.8,199,983,22,
558,1477.1,6191.6,120.0,203,997,22,
559,1479.6,6202.4,120.1,202,995,23,
560,1482.2,6213.1,120.1,202,995,23,
561,1484.8,6223.9,120.1,202,995,23,
562,1487.4,6234.6,119.8,204,1000,23,
563,1489.9,6245.4,119.6,205,1004,23,
564,1492.5,6256.1,119.9,203,998,23,
565,1495.1,6266.8,119.7,204,1002,23,
566,1498.2,6279.8,121.8,194,966,22,
567,1500.8,6290.5,121.5,195,971,23,
568,1503.3,6301.2,120.3,201,991,24,
569,1505.9,6311.9,120.9,198,981,23,
570,1508.5,6322.6,120.8,199,983,23,
571,1511.0,6333.2,120.9,198,981,23,
572,1513.6,6343.9,121.1,197,978,23,
573,1516.2,6354.6,121.1,197,978,23,
574,1518.8,6365.3,120.6,200,986,23,
575,1521.3,6376.1,120.2,202,993,24,
576,1523.9,6386.9,119.5,205,1005,23,
577,1526.5,6397.6,121.2,197,976,23,
578,1529.1,6408.2,121.2,197,976,23,
579,1531.6,6418.7,121.6,195,969,23,
580,1534.2,6429.5,121.5,195,971,23,
581,1536.8,6440.2,120.1,202,995,23,
582,1539.4,6451.0,120.1,202,995,23,
583,1541.9,6461.7,120.2,202,993,23,
584,1545.0,6474.9,120.1,202,995,23,
585,1547.6,6485.6,119.6,205,1004,23,
586,1550.2,6496.6,119.2,207,1011,24,
587,1552.8,6507.3,119.8,204,1000,23,
588,1555.4,6518.2,119.0,208,1014,23,
589,1557.9,6528.8,119.0,208,1014,23,
590,1560.5,6539.5,120.7,199,985,23,
591,1563.1,6550.1,121.0,198,979,22,
592,1565.7,6560.9,120.9,198,981,22,
593,1568.2,6572.0,119.2,207,1011,23,
594,1570.8,6583.2,117.0,219,1052,24,
595,1573.4,6594.4,115.7,226,1077,24,
596,1576.0,6605.5,116.7,220,1057,23,
597,1578.6,6616.4,116.7,220,1057,23,
598,1581.1,6627.2,119.8,204,1000,24,
599,1583.7,6638.0,119.5,205,1005,23,
600,1586.3,6648.9,119.6,205,1004,24,
601,1588.4,6657.3,119.6,205,1004,24,
602,1590.9,6668.0,120.1,202,995,24,
603,1593.5,6678.8,120.4,201,990,23,
604,1596.1,6689.5,120.2,202,993,23,
605,1598.7,6700.2,121.3,196,974,23,
606,1601.2,6711.0,120.4,201,990,24,
607,1603.8,6721.7,120.3,201,991,24,
608,1606.4,6732.5,121.0,198,979,23,
609,1609.0,6743.0,120.2,202,993,23,
610,1611.5,6753.7,122.5,190,955,23,
